Job Name,Company,Location,Avg Salary,Pay Type,Pay Min,Pay Max,Mentions python,Mentions tableau
Marketing Data Analyst,Lovehoney Group,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst,CyberCoders,"austin, tx",89950,yearly,100000.0,130000.0,0,0
Data Analyst,RD Thomas Advertising,"austin, tx",-1,unlisted,-1.0,-1.0,0,0
Principal IT Business Analyst,NPAworldwide,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Analyst Costing,LSG Sky Chefs,"austin, tx",-1,yearly,50198.0,62376.0,0,0
Business Analyst,The Judge Group,"austin, tx",89950,yearly,85000.0,85000.0,0,0
Data Analyst,Home Instead,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Data Analyst,Central Health,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Business Analyst 2-Ops,Oracle,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Sr Data Analyst,Tesla,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
"Analyst, Business Data",Dimensional Fund Advisors,"austin, tx",89950,yearly,75000.0,80000.0,0,1
Budget Data Analyst (Research Specialist I) 2023-34,Office of the Governor,"austin, tx",89950,monthly,4000.0,4333.0,0,0
Data Analyst - Entry Level,"CGI Group, Inc.","austin, tx",89950,unlisted,-1.0,-1.0,1,1
Data Analyst,Spruce,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
"Analyst, People Analytics",Tesla,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Business Analyst,Granify,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Data Analyst,Zello,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
"Analyst, Business Data",Dimensional Fund Advisors,"austin, tx",89950,yearly,75000.0,80000.0,0,1
Business Analyst,"InforTalents, Inc","austin, tx",89950,yearly,54152.0,119680.0,0,0
Data Analyst,Spruce,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Online Analyst - OTT Media,Cognizant,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
TRACS Data Analyst,Housing Authority of The City of Austin,"austin, tx",89950,hourly,22.12,22.12,0,0
Forecast Data Analyst III,Dept of Family & Protectve Svc,"austin, tx",89950,monthly,4301.0,7040.0,0,0
Research Analyst,Vereigen Media,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst,Dept of Family & Protectve Svc,"austin, tx",89950,monthly,4301.0,6000.0,1,0
Data Analyst,Steck Systems,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business System Data Analyst,S&P Global,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Data Analyst,University of Texas at Austin,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
GTM Revenue Operations Data Analyst,UiPath,"austin, tx",89950,yearly,64000.0,88000.0,0,1
Senior Data Analyst (Remote),Central Health,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Business Analyst / Tableau / Data Insights/ML,Apple,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Data Analyst,BCD Travel Corporate,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Data Analyst,National Domestic Violence Hotline,"austin, tx",89950,yearly,78000.0,78000.0,1,1
Business Analyst -- Fully Remote,Locks Global Staffing LLC,"austin, tx",89950,yearly,80000.0,120000.0,0,0
Business Analyst,Cognizant,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst,KIPP Texas Public Schools,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
"Data Analyst, Vision Automation",Tesla,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Data Analyst/Data Scientist,EPAM Systems,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst- Data Analysis and Reporting,Legislative Budget Board,"austin, tx",89950,yearly,45000.0,45000.0,0,0
Data Onboarding Analyst,S&P Global,"austin, tx",89950,yearly,58300.0,115000.0,0,0
"Data Analyst, Solutions Measurement",InMarket,"austin, tx",89950,yearly,90000.0,122000.0,0,0
Data Science Analyst,American Heart Association,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Business Analyst,American Unit Inc,"austin, tx",89950,hourly,50.0,55.0,0,0
"InfoSec Risk Analyst, Data Science",PayPal,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Data Analyst/Scientist,Travis County,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Expert Data Analyst - Fully Remote,Allscripts,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Category Analyst Convenience,"Buc-ee's, Ltd.","austin, tx",89950,unlisted,-1.0,-1.0,0,1
Data Analyst II,Superior HealthPlan,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst (Hybrid-Telework),Central Health,"austin, tx",89950,yearly,88600.0,95300.0,0,0
Business Analyst,Emonics LLC,"austin, tx",89950,yearly,50000.0,70000.0,0,0
Data Analyst I - Business Analyst,Education Service Center Region XIII,"austin, tx",89950,yearly,70039.0,70039.0,0,0
Business Analyst,Trust Consulting Services Inc.,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst R66298,Samsung Austin Semiconductor,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
"Data Analyst, IT Applications Engineering",Tesla,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Evaluation and Research Scientist (Data Analyst IV),Texas Comptroller of Public Accounts,"austin, tx",89950,monthly,4917.0,6489.0,0,0
Research Analyst,City of Austin,"austin, tx",89950,hourly,25.25,29.94,0,0
Tableau Analyst,Dutech,"austin, tx",89950,hourly,60.0,70.0,0,1
Data Loss Monitoring Deployment - Business analyst,NXP Semiconductors,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst,Myers-Holum,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Functional Data Analyst,University of Texas at Austin,"austin, tx",89950,yearly,62128.0,62128.0,1,0
Air Quality Data Analyst - (Ambient),"Montrose Environmental Group, Inc.","austin, tx",89950,hourly,25.0,25.0,0,0
